06.11.2014 - 00:09:30 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:31 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:32 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:33 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:35 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:36 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:37 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:38 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:39 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:40 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:41 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:42 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:43 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:45 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:46 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:47 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:48 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:49 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:50 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:51 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:52 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:53 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:54 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:55 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:55 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:55 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:56 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:56 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:57 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:58 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:09:59 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:00 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:01 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:02 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:03 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:05 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:06 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:07 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:08 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:09 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:10:10 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:30 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:32 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:33 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:34 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:35 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:36 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:37 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:38 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:39 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:40 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
06.11.2014 - 00:11:42 | error | ::1 | File: Argument 2 passed to framework\classes\Http\Response::getInternalUrl() must be of the type array, string given, called in D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php on line 102 and defined | Line: D:\WebApps\htdocs\Framework\framework\classes\Http\Response.class.php | 1: 
